2	ALL1_3
8366	Rd_0
8411	Rd_0
CS28750	Ste_0
CS28836	Wt_5
8239	Koln
CS28427	Kz_1
CS28434	Kz_9
8270	Bs_1
8297	Ge_0
CS28531	Nd_1
CS28816	Wei_0
CS28847	Zu_1
CS28782	Tsu_1
CS28650	Pog_0
CS28797	Van_0
CS28755	Tamm_2
CS28756	Tamm_27
CS28592	Oy_0
CS28503	Mt_0
8325	Lip_0
CS28492	Mh_0
CS28805	Wa_1
CS28571	Nok_3
8430	Lisse
CS28127	C24
CS28161	Co
CS28250	Fei_0
CS28125	Bur_0
8254	Ang_0
CS28016	An_1
8424	Kas_2
CS28718	Rubezhnoe_1
CS28198	Cvi_0
CS6602	Ak_1
999	Ale_Stenar_59_18
1158	Aledal_6_49
CS949	Ang_0
CS22633	Bay_0
CS6609	Bch_1
CS6610	Bch_3
CS6611	Bch_4
CS6612	Bd_0
CS6616	Bla_1
CS6623	Bla_11
CS6621	Bla_6
CS6645	Blh_1
CS1031	Blh_1
5846	B_r_15
5848	Bor_17
5838	Bor_2
CS22591	Bor_4
5841	Bor_9
428	Borky1
429	Borky2
CS22628	Br_0
1061	Brosarp_11_135
1070	Brosarp_45_153
CS6631	Bsch_2
CS8067	Buckhorn_Pass
CS22656	Bur_0
5719	Bur_0
CS22620	C24
CS22789	Cala_7
CS28861	Cant_8
CS6665	Chi_1
CS22602	CIBC_5
CS6671	Co_3
CS22625	Col_0
CS22614	Cvi_0
404	Doubravnik1
413	Doubravnik10
417	Doubravnik14
421	Doubravnik18
407	Doubravnik4
409	Doubravnik6
CS6684	Dr_0
CS6686	Dra_1
424	Draha2
5878	DraII_17
5871	DraII_2
5872	DraII_3
5873	DraII_4
5874	DraII_6
5875	DraII_7
5883	DraIII_17
5884	DraIV_1_1
5893	DraIV_1_11
5894	DraIV_1_12
5895	DraIV_1_13
5898	DraIV_1_16
5888	DraIV_1_6
5891	DraIV_1_9
5899	DraIV_2_1
5908	DraIV_2_10
5910	DraIV_2_12
5911	DraIV_2_13
5913	DraIV_2_16
5914	DraIV_2_17
5900	DraIV_2_2
5901	DraIV_2_3
5902	DraIV_2_4
