IRGC77142	M-202
IRTP4209	Azucena
IRGC12048	Moroberekan
	Cypress
IRGC4819	N-22
IRGC26289	Aswina
IRGC77210	Rayada
	IR64-21
IRTP16338	Shan-Huang-Zhan-2
IRGC108921	Pokkali
	Swarna
IRGC2243	Sadu-Cho
	Minghui-63
	Zhenshan-97B
	Nipponbare
GSOR301001	Agostano
GSOR301002	Aichi-Asahi
GSOR301003	Ai-Chiao-Hong
GSOR301004	NSF-TV-4
GSOR301005	NSF-TV-5
GSOR301006	ARC-7229
GSOR301007	Arias
GSOR301008	Asse-Y-Pung
GSOR301009	Baber
GSOR301010	Baghlani-Nangarhar
GSOR301011	Basmati
GSOR301012	NSF-TV-13
GSOR301014	Bico-Branco
GSOR301015	Binulawan
GSOR301016	BJ-1
GSOR301017	Black-Gora
GSOR301018	Blue-Rose
GSOR301019	Byakkoku-Y-5006-Seln
GSOR301020	Caawa/Fortuna-6-103-15
GSOR301021	Canella-De-Ferro
GSOR301022	Carolina-Gold
GSOR301023	Carolina-Gold
GSOR301024	Carolina-Gold-Sel
GSOR301025	NSF-TV-27
GSOR301026	Champa-Tong-54
GSOR301027	Chau
GSOR301030	Chodongji
GSOR301032	NSF-TV-34
GSOR301033	CO18
GSOR301035	Cuba-65
GSOR301037	NSF-TV-39
GSOR301038	Dam
GSOR301039	Darmali
GSOR301040	Dee-Geo-Woo-Gen
GSOR301041	Dhala-Shaitta
GSOR301042	Dom-Sufid
GSOR301043	Dourado-Agulha
GSOR301045	DV85
GSOR301046	DZ78
GSOR301047	Early-Wataribune
GSOR301048	Eh-Ia-Chiu
GSOR301049	Firooz
GSOR301050	Fortuna
GSOR301051	Gerdeh
GSOR301052	Geumobyeo
GSOR301053	NSF-TV-57
GSOR301054	Ghati-Kamma-Nangarhar
GSOR301055	Gogo-Lempuk
GSOR301056	Gotak-Gatik
GSOR301057	Guan-Yin-Tsan
GSOR301058	Honduras
GSOR301059	Hsia-Chioh-Keh-Tu
GSOR301060	Hu-Lo-Tao
GSOR301062	IAC-25
GSOR301063	Iguape-Cateto
GSOR301064	IR-36
GSOR301065	IR-8
GSOR301066	IRAT-177
GSOR301067	IRGA-409
GSOR301068	Jambu
GSOR301069	Jaya
GSOR301070	JC149
GSOR301071	Jhona-349
GSOR301072	Jouiku-393G
GSOR301073	K-65
GSOR301074	Kalamkati
GSOR301075	Kamenoo
GSOR301076	Kaniranga
GSOR301077	Kasalath
GSOR301079	Keriting-Tingii
GSOR301080	Khao-Gaew
GSOR301081	NSF-TV-89
GSOR301083	Kibi
GSOR301084	Kinastano
GSOR301085	Kitrana-508
GSOR301086	Koshihikari
GSOR301088	KU115
GSOR301091	LAC-23
GSOR301092	Lacrosse
GSOR301093	Lemont
GSOR301095	Luk-Takhar
GSOR301097	Mehr
GSOR301098	Ming-Hui
GSOR301099	NSF-TV-107
GSOR301100	Moroberekan
GSOR301101	MTU9
GSOR301102	Mudgo
GSOR301104	N12
GSOR301105	Norin-20
GSOR301106	Nova
GSOR301107	NPE-835
GSOR301108	NSF-TV-116
GSOR301109	O-Luen-Cheung
GSOR301110	Oro
GSOR301111	Oryzica-Llanos-5
GSOR301112	OS6
GSOR301113	Ostiglia
GSOR301114	Padi-Kasalle
GSOR301115	Pagaiyahan
GSOR301116	Pao-Tou-Hung
GSOR301117	Pappaku
GSOR301119	Pato-De-Gallinazo
GSOR301120	Peh-Kuh
GSOR301121	Peh-Kuh-Tsao-Tu
GSOR301122	Phudugey
GSOR301123	Rathuwee
GSOR301124	Rikuto-Kemochi
GSOR301125	Romeo
GSOR301126	RT-1031-69
GSOR301128	RTS14
GSOR301129	RTS4
GSOR301130	S4542A3-49B-2B12
GSOR301131	Saturn
GSOR301132	Seratoes-Hari
GSOR301133	Shai-Kuh
GSOR301134	Shinriki
GSOR301135	Shoemed
GSOR301136	Short-Grain
GSOR301137	Shuang-Chiang
GSOR301138	Sinampaga-Selection
GSOR301139	Sintane-Diofor
GSOR301140	Sinaguing
GSOR301141	Sultani
GSOR301142	Suweon
GSOR301143	T-1
GSOR301144	T26
GSOR301145	Ta-Hung-Ku
GSOR301146	Ta-Mao-Tsao
GSOR301147	Taichung-Native-1
GSOR301148	Tainan-Iku-487
GSOR301149	Taipei-309
GSOR301150	Tam-Cau-9A
GSOR301151	NSF-TV-160
GSOR301152	TeQing
GSOR301153	TKM6
GSOR301154	Taducan
GSOR301155	Tondok
GSOR301156	Trembese
GSOR301157	Tsipala-421
GSOR301158	B6616A4-22-Bk-5-4
GSOR301159	Vary-Vato-462
GSOR301160	WC-6
GSOR301161	Wells
GSOR301162	ZHE-733
GSOR301163	Zhenshan-2
GSOR301165	Azucena
GSOR301167	583
GSOR301168	68-2
GSOR301169	ARC-6578
GSOR301170	Bellardone
GSOR301171	Benllok
GSOR301172	Bergreis
GSOR301173	Blue-Rose-Supreme
GSOR301174	Boa-Vista
GSOR301175	Bombon
GSOR301177	Bul-Zo
GSOR301178	C57-5043
GSOR301179	Coppocina
GSOR301180	Criollo-La-Fria
GSOR301181	Delrex
GSOR301182	Dom-Zard
GSOR301183	Erythroceros-Hokkaido
GSOR301185	HG-24
GSOR301186	IRAT-13
GSOR301187	JM70
GSOR301188	Kaukkyi-Ani
GSOR301189	Leah
GSOR301190	Mojito-Colorado
GSOR301191	P-737
GSOR301192	Pate-Blanc-Mn-1
GSOR301193	Pratao
GSOR301194	Radin-Ebos-33
GSOR301195	Razza-77
GSOR301196	Rinaldo-Bersani
GSOR301197	Rojofotsy-738
GSOR301198	Sigadis
GSOR301199	SLO-17
GSOR301200	Tchibanga
GSOR301201	Thavalu
GSOR301202	Tokyo-Shino-Mochi
GSOR301204	WC-3397
GSOR301205	WC-4419
GSOR301206	WC-4443
GSOR301207	Yabani-Montakhab-7
GSOR301208	YRL-1
GSOR301209	PI298967-1
GSOR301210	Nucleoryza
GSOR301211	Azerbaidjanica
GSOR301212	Sadri-Belyi
GSOR301213	Paraiba-Chines-Nova
GSOR301215	Karabaschak
GSOR301216	Biser-1
GSOR301218	Riz-Local
GSOR301219	CA-902/B/2/1
GSOR301221	Hunan-Early-Dwarf-No.-3
GSOR301222	Shangyu-394
GSOR301223	Sung-Liao-2
GSOR301224	Aijiaonante
GSOR301225	Sze-Guen-Zim
GSOR301226	WC-521
GSOR301227	Estrela
GSOR301228	WAB-56-104
GSOR301229	WAB-502-13-4-1
GSOR301230	WAB-501-11-5-1
GSOR301231	ECIA76-S89-1
GSOR301232	27
GSOR301233	Tropical-Rice
GSOR301234	Arabi
GSOR301235	Sab-Ini
GSOR301237	Desvauxii
GSOR301238	Caucasica
GSOR301239	Pirinae-69
GSOR301240	Bulgare
GSOR301241	H256-76-1-1-1
GSOR301242	Djimoron
GSOR301244	Hon-Chim
GSOR301245	Pai-Hok-Glutinous
